index,variable
1,BX
2,BY
3,|B|
4,B
47,BPHAS
40,MPHAS
41,MX
42,MY
43,|M|
46,MMOD
44,M
48,P
39,PINT
29,T
36,MQES
37,MQEC1
38,MQEC2
155,V
45,FPN
5,BPERP
6,BPARA
7,FX
8,FY
9,|F|
10,F
11,FPERP
12,FPARA
13,A
22,ARED
18,MARG
28,MARGT
360,MARGJ
19,BREDX
20,BREDY
21,BR
49,B1
50,B2
51,B3
52,B4
53,B5
54,B6
55,B7
56,B8
57,B9
58,B10
59,B11
146,B12
147,B13
148,B14
161,A1
162,A2
163,A3
164,A4
165,A5
166,A6
167,A7
168,A8
169,A9
170,A10
171,A11
172,A12
173,A13
174,A14
60,M1
61,M2
62,M3
63,M4
64,M5
65,M6
66,M7
67,M8
68,M9
69,M10
70,M11
79,B1ICC
80,B2ICC
81,B3ICC
82,B4ICC
83,B5ICC
84,B6ICC
85,B7ICC
86,B8ICC
87,B9ICC
88,B10ICC
89,B11ICC
92,A1ICC
93,A2ICC
94,A3ICC
95,A4ICC
96,A5ICC
97,A6ICC
249,DB1R
250,DB2R
251,DB3R
252,DB4R
253,DB5R
254,DB6R
255,DB7R
256,DB8R
257,DB9R
258,DB10R
259,DB11R
349,DB1F
350,DB2F
351,DB3F
352,DB4F
353,DB5F
354,DB6F
355,DB7F
356,DB8F
357,DB9F
358,DB10F
359,DB11F
91,ICC
14,I
15,JELE
16,JCU
17,JSC
24,|I|
25,|JEL|
26,|JCU|
27,|JSC|
75,COIL
